"s1","s2","c1","d1","d2","d5","e1","e4","g1","g2","g6_01","g6_02","k2","k1","comp_i","w2r_i","tr_inst_i","risk_i","col_i","reg_i","sci_i","med_i"
1,42,0,9,0,3,3,7,6,0,1,0,8,0,8,7.5,4,1.5,7,8,7.66666666666667,3.33333333333333
0,52,1,7,0,5,9,7,5,0,1,1,2,1,7,0,7,2,3,7,5.33333333333333,5.66666666666667
0,67,1,7,0,2,5,7,3,1,1,1,2,0,10,10,5,2,7,2.5,7.66666666666667,1.33333333333333
0,32,0,8,0,3,3,8,7,0,1,0,8,1,10,8,6,2,5,7.5,6,6.33333333333333
0,53,1,6,0,2,1,6,6,1,0,0,7,1,9.5,7,0.5,2.5,4.5,6,6.66666666666667,5.66666666666667
1,41,0,8,0,3,7,8,7,0,1,0,1,0,8.75,4,4.5,2,4,5,7,7.33333333333333
1,49,0,7,1,6,5,7,5,1,1,0,10,0,8,9.5,3,2,10,2.5,9.33333333333333,7.33333333333333
1,67,0,5,0,3,0,5,8,1,1,1,10,0,9.75,10,5,2,5,9,9,4.66666666666667
1,56,1,6,0,7,3,6,6,1,1,0,7,1,7.5,7,4.5,2,6.5,7.5,7.66666666666667,3
1,62,0,5,1,4,4,6,6,0,0,1,8,0,9.75,8,4,1,7,8.5,10,1
0,56,1,5,0,0,0,2,7,0,1,1,7,0,10,10,1,3,8,7.5,8,6.33333333333333
1,45,0,8,0,2,2,8,7,0,1,0,2,0,10,8.5,5.5,2,7,3,9.33333333333333,5.66666666666667
1,70,1,6,1,1,0,5,6,1,1,1,8,0,10,10,0,1.5,8,7,10,8.33333333333333
1,31,1,6,1,3,0,4,7,0,0,1,9,0,10,10,1.5,2,10,8,9,8
1,31,1,9,0,3,4,10,6,1,1,1,8,0,8.5,10,5,1.5,6,0.5,5.66666666666667,4.33333333333333
1,43,1,6,1,2,7,6,7,0,1,1,1,0,9,7.5,3.5,1.5,7,6.5,7.66666666666667,7.66666666666667
1,68,1,8,0,5,4,8,6,0,1,1,2,0,10,10,7,2.5,9,4,4.33333333333333,0.666666666666667
1,51,0,8,0,5,3,9,5,0,0,1,4,0,10,9,8,1,8,7.5,8.33333333333333,9.66666666666667
1,35,1,7,0,3,5,7,5,0,1,0,0,0,9.5,6,6.5,2.5,7,6,8.33333333333333,9.33333333333333
1,60,0,7,1,2,4,6,7,0,1,0,0,0,9,10,5,1.5,7,8,8,2.66666666666667
0,66,0,9,0,4,3,9,7,1,0,0,2,0,9,7,4.5,2,7,6.5,5.66666666666667,7
0,44,1,10,0,4,7,8,8,1,1,0,0,0,10,10,4,2,7,8.5,7.33333333333333,9.33333333333333
1,40,0,0,0,0,10,0,0,0,0,0,0,0,2.5,1.5,1,4,1,0,3.33333333333333,7.66666666666667
0,33,0,10,1,1,0,10,5,0,0,0,10,0,10,0,5,2,9.5,10,9.66666666666667,1
1,56,0,8,1,3,4,7,6,0,1,0,0,0,9.25,7.5,5.5,2,3,6,4,9.66666666666667
