"s1","s2","c1","d1","d2","d5","e1","e4","g1","g2","g6_01","g6_02","k2","k1","comp_i","w2r_i","tr_inst_i","risk_i","col_i","reg_i","sci_i","med_i"
0,59,1,3,1,4,2,3,8,0,1,1,9,0,10,10,3,1,10,6.5,7,5.66666666666667
0,65,0,7,0,3,6,8,7,1,1,1,4,0,10,8,6,2,6,7,7,5.66666666666667
1,64,0,9,0,5,5,9,7,0,1,0,4,0,9.75,5,7.5,0.5,5.5,7,8,8.66666666666667
0,65,0,0,0,9,9,0,10,0,0,0,10,0,5,10,0,0,4.5,7,0.666666666666667,2
1,53,1,9,0,5,2,9,6,0,0,0,5,0,7,4,4,2,5.5,7,8,6.33333333333333
0,34,1,0,1,6,0,0,8,0,0,0,5,1,10,10,0,2,1,0,7,3
1,19,1,6,0,6,2,5,4,0,1,1,4,0,10,7,6,1,8,6.5,6.33333333333333,3
1,22,0,8,0,3,6,7,7,0,1,0,5,0,9,10,8.5,1,7.5,6.5,6.33333333333333,10
1,52,1,10,0,1,0,10,6,1,0,1,10,0,7.5,0,5.5,2,10,10,9.33333333333333,0.333333333333333
1,45,1,8,0,3,4,8,6,1,0,0,4,0,3.75,8,4,0,5,5,6.66666666666667,6.33333333333333
1,50,1,5,0,6,7,6,2,1,1,0,3,0,7.25,3,4,3,4,3,5.33333333333333,5.33333333333333
0,70,0,7,1,4,6,7,7,0,0,0,0,0,9.75,9,7,1.5,7.5,8,7.66666666666667,6
1,75,0,6,0,6,7,4,6,1,0,0,7,0,9.25,7,3.5,1.5,5,7,7,9
1,55,1,4,0,5,4,3,5,1,1,0,7,0,8.75,1,0,1.5,2.5,7,6,6
0,62,0,8,0,7,3,7,5,1,1,1,4,0,10,5.5,3.5,2,6,5.5,8.66666666666667,6.66666666666667
1,73,1,7,0,4,4,6,6,1,1,0,7,0,9.5,5,3,1.5,5.5,7,6.66666666666667,3.66666666666667
1,63,0,9,0,4,7,9,7,0,1,0,2,0,7,6.5,4.5,0.5,5.5,9,5.66666666666667,8.33333333333333
1,58,1,3,0,5,5,2,4,1,0,0,10,1,9.5,10,2,3,5,5.5,8.66666666666667,5
1,54,1,4,0,5,4,4,4,1,1,0,0,0,9,1.5,1.5,2,6,6.5,7,3.66666666666667
1,69,1,2,0,6,5,3,5,1,1,1,6,1,10,4,3.5,2,7,5.5,5,5
1,63,0,8,0,5,4,7,5,0,0,0,0,0,10,6.5,3,2,10,5.5,6.66666666666667,8
1,61,0,10,0,7,1,10,8,0,0,0,2,0,9.75,9,9,1.5,10,9.5,7,4
1,84,0,7,0,3,3,7,7,1,1,1,2,0,8,8,4,0.5,8,2.5,7,7.66666666666667
0,71,1,8,0,3,3,8,2,1,1,1,3,0,10,10,4,2.5,4.5,5,8,7.33333333333333
1,45,1,9,0,4,7,9,8,0,1,0,4,1,10,8,5.5,1,6.5,8,5.66666666666667,3.66666666666667
0,41,0,8,0,1,4,7,5,0,1,0,10,1,4,8,2.5,1,7,6,7,3
0,61,0,10,0,2,9,10,5,1,1,1,3,0,10,10,7,1.5,7.5,8.5,9,9.33333333333333
1,37,1,7,0,5,4,6,6,0,1,1,8,1,9.25,4,4,2,4.5,9,7,6
0,58,0,8,0,1,3,9,6,0,1,1,0,0,9.75,8,4,0.5,10,5.5,8.33333333333333,6.66666666666667
1,50,0,6,0,4,2,6,6,0,1,1,4,0,7.75,6.5,6,2.5,6.5,3,6,6.33333333333333
1,70,1,8,0,3,4,7,5,1,1,1,3,1,10,4.5,6,2,7,6.5,5.66666666666667,6.66666666666667
1,56,0,8,0,6,3,7,7,0,1,0,3,0,6.75,8,7,1.5,9,7,9.33333333333333,7.33333333333333
1,44,0,8,1,5,2,8,7,0,0,0,3,1,8.75,6.5,5.5,2.5,8.5,3.5,7,7.33333333333333
1,67,0,8,0,2,8,8,6,0,0,0,1,0,10,6,5.5,0,10,8.5,10,10
1,74,0,8,0,3,2,4,6,1,1,1,9,0,10,10,1.5,0,6,3.5,7,7
1,76,1,2,1,1,2,8,7,0,1,1,2,1,9.75,5,2.5,2,9,2,7,4
1,52,1,8,0,5,7,8,5,0,0,1,5,0,10,6,8,2.5,6.5,2.5,6.33333333333333,9.66666666666667
1,49,0,6,0,6,3,6,7,0,1,1,8,0,9,8,6,1,6,7,7,3.33333333333333
1,63,0,2,0,6,4,2,8,0,0,0,6,0,7.25,6,3,1,5.5,4.5,8.33333333333333,6.33333333333333
1,61,0,5,0,6,6,10,10,0,0,0,3,0,9.5,5,3,2,1.5,8,3.33333333333333,1
0,64,0,7,0,3,6,8,6,0,0,0,2,0,10,7,4.5,2.5,7.5,4,6.66666666666667,7
1,68,0,7,0,0,8,7,6,0,0,0,4,0,7,6.5,9,1,6.5,6.5,6.66666666666667,10
1,58,0,9,0,3,8,9,7,0,0,0,5,0,9.5,9,2.5,1.5,7,7,8.66666666666667,4
1,55,0,8,0,8,6,7,7,0,1,0,2,0,9.5,8,6.5,2,8,6.5,8.66666666666667,9.66666666666667
1,67,0,8,0,2,2,9,8,1,1,0,0,0,10,9,7,1,2.5,7,9.66666666666667,7
1,63,0,6,0,6,3,5,6,1,0,0,7,0,8.75,4,0,0,8.5,7.5,7,3
1,64,1,8,0,4,7,9,7,1,0,0,3,0,9.75,8.5,6,1.5,1,8.5,9.33333333333333,7
1,51,1,6,0,4,2,6,5,0,1,1,5,0,8,7,2,1,3,7,6,5.33333333333333
1,53,1,8,0,5,7,7,8,0,1,0,2,0,10,7,4.5,1.5,7.5,4.5,7,8
1,56,1,9,0,1,2,10,8,1,0,0,0,1,9.25,10,5,2,8.5,9,6.66666666666667,10
1,72,0,7,0,6,5,6,4,0,1,1,4,0,10,5,5,1,5,3,4.66666666666667,2
0,63,1,7,0,2,0,6,3,1,1,1,3,0,10,10,3,2.5,7.5,6.5,9,7.66666666666667
0,35,1,8,0,4,3,6,6,1,1,0,8,0,8.25,6,3,2.5,6.5,6.5,8,5.66666666666667
0,31,1,10,0,2,2,10,8,0,1,0,1,0,10,10,2,2.5,8.5,9,9.66666666666667,10
1,48,1,8,0,5,2,8,3,0,0,0,5,1,5.75,4.5,4.5,0.5,6,7.5,6,4
0,56,0,7,0,7,3,6,9,0,0,0,7,0,9.25,6.5,4.5,2.5,6.5,8.5,7.33333333333333,2.33333333333333
0,52,0,7,0,4,4,8,7,1,0,0,8,1,10,9.5,6,3,5,8,7.33333333333333,6.33333333333333
0,67,0,8,1,3,7,7,7,0,0,0,2,0,9.75,8.5,7.5,1,7,7.5,6.66666666666667,5.66666666666667
1,60,1,8,0,4,3,7,5,1,1,1,1,0,9,6,7,2,6,4,7,7.33333333333333
1,66,0,7,0,7,2,8,6,1,1,0,2,0,8.75,5.5,4.5,2,7.5,3.5,5.66666666666667,5.66666666666667
1,52,0,8,0,6,4,7,7,0,1,0,5,0,9.5,5,6,2.5,8,9.5,5,8.33333333333333
0,50,1,0,0,8,0,2,6,0,1,0,8,1,9.5,6,0,0.5,4,8.5,4,1
0,57,0,10,0,4,7,10,7,0,0,1,1,1,10,10,8,3,7,5.5,8.66666666666667,2.33333333333333
0,55,1,10,0,1,4,10,8,1,0,0,1,0,7.5,10,5.5,4,2.5,8,7,7.66666666666667
1,81,1,7,0,5,5,7,6,1,1,1,3,0,10,7,3.5,0,8,6.5,5,7.66666666666667
0,75,1,8,1,1,3,7,6,1,1,1,3,0,10,10,5,2,9,5,10,3
1,60,1,6,0,7,6,7,7,0,0,0,8,0,9.25,2,2,1,5,6,7.33333333333333,3
1,30,0,4,0,6,0,7,5,0,1,0,4,0,7,7.5,5.5,0,6,4.5,6,6.33333333333333
1,47,0,10,0,8,3,9,5,0,1,1,4,0,10,8.5,6.5,0.5,10,9.5,7,4
0,68,0,4,0,6,1,5,7,0,1,1,8,1,8.25,6.5,0,0.5,5.5,2.5,7.66666666666667,4
0,71,1,6,0,6,6,6,4,1,1,1,0,0,6,9,2.5,2,4.5,7,6,4.33333333333333
0,60,1,7,0,6,5,5,5,1,0,1,5,1,10,10,4.5,2,8.5,7,8,2
0,42,1,6,0,3,3,6,5,0,1,1,5,1,8.5,8,2.5,2,6,7.5,8.33333333333333,2.66666666666667
1,70,1,9,0,4,8,9,8,0,0,0,3,0,9.5,2,7,2,10,5,7,5
0,47,0,8,0,4,3,10,6,1,1,0,5,1,9,9,5,0,7.5,5,7.66666666666667,7
1,67,1,7,0,5,3,7,5,1,1,0,2,1,10,4,3.5,1.5,3,4,7,8.33333333333333
0,32,1,4,0,7,7,4,3,1,0,0,4,1,9,10,4,3,3.5,5,6.66666666666667,5
1,53,1,10,0,4,2,4,8,0,1,1,9,1,9.5,9.5,0,0.5,7.5,8.5,8.66666666666667,1
0,53,0,7,0,5,3,7,6,0,1,1,2,0,10,9,6,2,4,7,5,8
0,49,0,5,0,7,5,6,5,1,1,1,3,0,9.25,3,6.5,2.5,5.5,1,6.33333333333333,5.66666666666667
1,39,0,7,0,2,0,7,7,0,1,1,8,0,10,9,6,2.5,5.5,5.5,6,4
0,46,1,4,0,6,5,6,5,1,1,1,6,1,6,7,7,1,5,6.5,6,3.66666666666667
0,58,1,9,0,8,3,8,6,0,0,0,2,0,9.75,10,4,0,1.5,9.5,8,6.33333333333333
1,51,0,7,1,2,6,5,5,1,0,1,2,1,2.75,2.5,3.5,1.5,3.5,3.5,3.33333333333333,5.33333333333333
0,84,1,8,0,4,3,8,5,1,0,1,5,1,10,8.5,4,2,6.5,6.5,7,2.33333333333333
1,33,1,7,0,4,2,7,8,0,1,1,8,0,9.75,8.5,2.5,2,7,6,6.33333333333333,4.33333333333333
0,41,1,2,0,8,3,5,7,0,0,0,0,1,7,0,1.5,0,0,8.5,7.66666666666667,3.66666666666667
1,73,0,9,0,7,3,10,6,0,0,0,0,0,7,2.5,7,2,7,8.5,5.66666666666667,7
1,65,1,8,0,3,7,8,6,0,0,0,2,0,9.25,3.5,7.5,1,7.5,6,6.66666666666667,7.33333333333333
1,32,0,7,0,5,4,8,6,0,0,0,1,0,6.75,9,6,2,6,6,9,9.33333333333333
0,67,0,8,0,6,6,8,7,0,0,0,3,0,9,4,7.5,0,6,5.5,7,8.33333333333333
1,38,1,8,0,7,6,7,3,1,1,1,1,1,7.75,3.5,5.5,1,4.5,7.5,6.66666666666667,7
1,42,0,5,0,4,5,7,6,1,1,1,0,0,10,4,2,0,4.5,7.5,6,4.33333333333333
0,37,0,10,0,3,0,9,6,0,1,1,3,0,10,10,3,2,8,6.5,8.66666666666667,9.66666666666667
1,54,0,8,0,3,2,8,7,1,1,0,2,0,8.5,5,3.5,2,3.5,7.5,7,6.66666666666667
0,35,0,8,1,4,6,8,7,1,0,0,3,0,10,10,9,2.5,8,5,9,7
0,45,1,2,0,7,0,4,2,0,0,0,3,0,10,8,2.5,1,7,0,7,3.33333333333333
1,72,0,9,0,3,2,8,4,1,0,0,3,0,10,10,5,1,2,5.5,8.66666666666667,9
1,52,0,7,0,5,3,6,5,1,1,1,3,0,7.5,7,6,2,5,6,2.33333333333333,7.66666666666667
1,38,0,8,0,3,4,8,7,0,1,0,6,0,8.25,7,5,2,8,6,9,8.33333333333333
1,65,0,7,0,5,7,7,7,0,0,0,2,0,10,2,6,1,7,7,7.66666666666667,9
0,47,1,7,0,5,1,7,8,0,1,0,1,0,10,8.5,5.5,0,5,8,9,9.33333333333333
1,68,0,0,0,4,0,0,5,1,1,1,7,0,10,10,2.5,1,10,8,9.66666666666667,1.66666666666667
0,67,1,1,0,6,5,3,6,1,1,1,8,0,10,0,3,1,8.5,3.5,8,6
1,38,1,6,0,6,5,1,6,0,1,1,9,0,10,6,0.5,2.5,5.5,7,7.33333333333333,10
0,42,0,0,0,5,6,0,4,0,1,0,10,0,10,3.5,1.5,1.5,4.5,4.5,8.66666666666667,9.66666666666667
1,84,0,8,0,6,3,8,8,1,0,0,5,0,9.75,4,6.5,1.5,7,7,8.66666666666667,8
1,55,1,10,0,0,3,10,8,0,0,0,0,0,9,7,5.5,2,6,4,3,7.66666666666667
1,59,1,9,0,4,4,8,8,0,0,0,0,0,9.75,6,6.5,1.5,7,9.5,7.66666666666667,5.66666666666667
1,73,1,9,0,4,2,10,8,1,0,0,1,0,9.5,9.5,8,1,10,9,5.33333333333333,9.66666666666667
1,50,1,9,0,2,0,9,7,0,1,0,0,0,10,8.5,4,3.5,7,0.5,6,7
1,35,1,9,0,5,4,10,8,0,1,0,1,1,10,6,1,1.5,6,7,6,4.33333333333333
1,64,1,6,0,6,3,6,4,1,1,1,2,0,7,0.5,3,3,3.5,4.5,6,5.33333333333333
1,57,0,5,0,5,5,4,5,1,1,1,8,0,8.75,10,3.5,0,5,6.5,7.66666666666667,5.33333333333333
1,75,0,9,0,3,5,9,6,0,1,0,1,0,10,8.5,4,2,10,3.5,7,8
1,59,1,10,0,0,0,10,6,0,1,1,0,0,10,7,5.5,1.5,5,8,10,3.33333333333333
1,63,1,1,0,7,2,0,2,1,1,0,9,0,9.75,7.5,0,1,3.5,6,6.33333333333333,2.33333333333333
1,69,0,8,0,3,2,9,7,0,1,1,5,1,9.25,9,7.5,0,3.5,8,7,4.66666666666667
1,60,0,4,0,3,3,7,7,0,1,0,2,0,8.5,8,4.5,1,8,6,8,5
1,72,0,8,0,6,4,6,6,1,0,1,0,0,8.5,7.5,5.5,1,6,4.5,7,6
1,57,1,7,0,7,4,8,3,1,0,0,1,0,9,1,3.5,0,5,3,7.66666666666667,5.66666666666667
0,50,1,0,0,7,4,0,4,1,1,1,9,0,8.5,5.5,0.5,1,1,4,5,4
0,63,0,7,0,4,7,7,8,1,1,1,4,0,9,8.5,0,0.5,3,3.5,4.66666666666667,6.33333333333333
1,54,1,3,0,7,3,2,6,0,1,0,8,0,9.75,5,1,3,1,7,7.66666666666667,8.66666666666667
0,75,1,8,0,2,3,7,4,1,0,0,3,0,9.5,8,6,2,9,4.5,10,2.33333333333333
1,50,1,10,0,2,4,8,4,0,1,1,3,0,9.75,9,8,2,6,7.5,9.33333333333333,7
0,70,1,5,0,3,0,7,5,0,1,1,5,0,7.5,10,3.5,1.5,0,8.5,7,7
0,54,0,5,0,4,5,7,8,0,1,1,5,1,10,2.5,6,0,0,7.5,8,5.66666666666667
0,39,1,9,0,4,2,7,5,1,1,1,8,1,7,6.5,6,2.5,6,7,6.33333333333333,3
1,32,1,10,0,3,0,9,8,0,1,0,2,1,8.75,7.5,7,0,5,7,9.66666666666667,4.33333333333333
0,50,1,6,0,0,6,7,3,1,1,1,3,0,9.75,7,6.5,2.5,1,6,6.66666666666667,8
1,36,0,2,0,7,2,1,8,0,0,0,8,0,10,5,0.5,1,7,5,3,5.33333333333333
0,48,0,4,0,7,5,4,6,0,1,1,6,0,10,3.5,5,2.5,5,5,6.66666666666667,10
0,68,0,5,0,7,7,2,7,0,0,0,5,0,8.75,0,0,0.5,0,0,2.66666666666667,1.66666666666667
1,38,1,4,0,8,0,4,3,1,0,1,3,0,10,1,4.5,1,6.5,10,8.33333333333333,10
0,67,1,7,0,3,0,7,8,0,1,1,3,0,10,9,2.5,1,6,5,6.33333333333333,6.33333333333333
0,34,0,8,0,5,8,6,6,0,1,0,7,0,10,10,5,1.5,7,5.5,6.33333333333333,7
0,49,1,4,0,7,4,4,9,0,0,0,8,1,9.25,0,3.5,1,2,8,7,4
0,23,1,7,0,5,9,5,5,1,1,0,7,1,7.75,8.5,1.5,1.5,6,4.5,5.33333333333333,4.66666666666667
0,78,1,8,0,3,5,6,6,1,0,1,8,0,9.25,9,4,1,7,7.5,7,3.66666666666667
0,71,0,7,0,3,3,6,8,1,0,0,7,1,10,10,3.5,1.5,7.5,8,8.33333333333333,2
0,47,1,9,0,4,3,7,7,0,1,1,7,0,5,6,3,2,4.5,6,5,5.33333333333333
1,65,1,8,0,4,2,8,7,1,1,1,1,0,10,8,2,0,8,6,7,6.33333333333333
0,45,0,10,0,0,0,10,7,0,1,1,0,1,10,10,8.5,1.5,8.5,6,4.66666666666667,3.66666666666667
1,36,1,7,0,7,3,7,3,1,0,0,3,0,10,10,5.5,2,5.5,6.5,6,8.33333333333333
1,45,0,7,0,6,3,6,6,0,1,0,3,1,4.5,6,3.5,0,6.5,6.5,6.66666666666667,6.33333333333333
1,58,1,9,0,3,10,9,10,0,0,0,3,0,10,7.5,4,1.5,9,4.5,8.33333333333333,6.33333333333333
0,50,1,10,0,2,4,10,10,0,1,0,5,0,10,10,8.5,1,10,8.5,7.66666666666667,4.33333333333333
0,65,1,8,0,5,5,10,5,1,1,0,0,0,9.25,5.5,5,1,8,0,9.66666666666667,2
1,80,0,6,0,3,7,6,6,1,1,0,6,0,9.75,10,5.5,1.5,8,7,6.66666666666667,6
1,28,0,9,0,1,3,9,8,0,1,0,2,0,10,10,6.5,2,6.5,7,9,5.66666666666667
0,72,1,7,0,3,3,6,4,1,1,1,3,0,10,8,4.5,1,7.5,7,7.66666666666667,4
1,36,0,6,0,7,2,7,6,0,1,0,4,0,8.5,7.5,5,2,5.5,5.5,5.66666666666667,8
0,36,0,5,1,3,1,5,6,1,1,1,7,1,10,7,7,3,6,7,8.33333333333333,4.66666666666667
1,47,1,8,0,4,4,5,8,0,1,0,8,1,10,10,0,3,8,7,7.66666666666667,5.33333333333333
1,48,1,0,0,10,5,0,5,0,1,0,10,0,10,0,0.5,2,0,1,4.33333333333333,9
1,77,0,10,0,3,7,8,10,1,1,0,3,0,5,8,7,0,6,5.5,9.66666666666667,9
1,50,1,8,0,4,2,7,6,0,1,1,7,0,8,5,7.5,1,5,7,8.66666666666667,3
0,40,0,4,0,6,1,7,2,1,0,1,7,0,10,7.5,6,0,10,2,9.33333333333333,10
1,59,1,8,0,1,9,7,6,1,0,1,7,0,10,4,3,1.5,0,8.5,5.33333333333333,10
0,52,0,5,0,6,1,7,7,1,0,1,6,1,0,3.5,6.5,1.5,3.5,6,5.33333333333333,5.33333333333333
1,55,0,5,0,5,5,4,4,0,1,1,4,0,10,5,2,1.5,5.5,4.5,7.33333333333333,4.66666666666667
1,53,0,7,0,3,2,2,7,0,0,0,8,1,10,7.5,2.5,1.5,0.5,9,9,5
1,45,0,8,0,3,3,8,5,0,1,1,2,0,9.25,7.5,6,3.5,8,5.5,8.33333333333333,9.33333333333333
0,53,0,8,1,3,0,8,8,1,1,0,2,0,10,5,3.5,1,8,9,7,6
0,70,1,8,0,6,3,5,6,1,1,1,6,0,10,7,2,1,6.5,5.5,6,5.66666666666667
0,39,1,8,0,3,4,8,2,0,1,1,1,0,9.5,6,7,2,6,7.5,6,7
0,42,0,5,0,6,3,6,6,0,1,0,4,1,9.5,2.5,0,1.5,4.5,5,5.33333333333333,7.66666666666667
0,48,0,9,0,5,4,10,8,1,1,1,7,1,6.25,4.5,2.5,2,1,9.5,8,7.66666666666667
0,53,0,6,1,2,4,3,5,0,0,1,10,0,8.25,6,1,1,6.5,2.5,6.33333333333333,6
1,57,0,6,0,6,4,5,5,0,1,1,7,0,9.5,7,3.5,1.5,6.5,3,5.66666666666667,3.66666666666667
1,51,1,3,0,6,6,7,6,0,0,1,6,1,10,7.5,5.5,1,6,8,6,1.66666666666667
0,50,0,9,1,6,5,9,5,1,0,1,8,1,10,10,6,2,8.5,5.5,9.66666666666667,7
0,43,1,8,1,7,5,8,6,1,1,1,4,1,10,6.5,4,2,4.5,7,7,3.66666666666667
1,68,0,10,0,3,2,10,9,0,0,0,2,0,10,9,6,1,7.5,8,8.66666666666667,3.66666666666667
0,46,1,10,0,2,6,10,6,0,1,1,3,1,10,10,5,2,3,0.5,6,4.33333333333333
0,67,0,8,0,4,5,8,8,0,1,0,2,0,6.5,8,7,1.5,5,8.5,8,4.33333333333333
0,45,1,10,0,4,3,10,8,0,1,0,8,1,10,10,4.5,0.5,7,3.5,6.66666666666667,7.33333333333333
0,76,0,3,0,5,3,1,3,1,0,0,6,0,8.75,6,2,2.5,6,1.5,4.66666666666667,3.66666666666667
0,46,0,7,1,4,3,5,7,0,1,0,10,1,10,10,2.5,2,10,5,8.33333333333333,6.66666666666667
0,67,0,4,0,7,5,5,5,1,1,1,1,0,9.75,2.5,4.5,1,6.5,6.5,4.66666666666667,7
1,42,1,5,0,6,3,5,6,1,1,0,6,0,7,6,4.5,1.5,5.5,5,6.33333333333333,3.66666666666667
0,61,1,5,0,3,2,5,6,0,1,0,6,1,10,7,5,2,6.5,6,6.66666666666667,4.33333333333333
1,46,1,6,0,2,0,6,6,1,0,1,3,1,9.25,5,2,2,8,5,3,6
1,51,0,9,0,3,5,9,9,0,1,0,5,1,9,2.5,3,2.5,7.5,6,7.66666666666667,4.66666666666667
1,31,0,9,0,3,3,9,8,0,1,0,4,0,8.5,5,5,0.5,4,8.5,7,8
0,34,0,6,0,6,5,3,7,0,0,1,8,0,7.75,5,3.5,3.5,4,7.5,8,4.66666666666667
0,78,1,7,0,4,3,6,6,0,1,0,6,0,9.5,7,6,1,10,7,7,6
1,44,1,8,0,4,2,7,6,0,1,1,4,1,9.75,7.5,3.5,2,6,7,5,5.33333333333333
1,39,1,6,0,2,7,5,6,0,1,0,0,0,10,6,5,2,7.5,4.5,7,6.33333333333333
0,65,1,7,0,7,7,9,8,1,0,0,0,0,9,8.5,1.5,2,8,8.5,5.33333333333333,8.66666666666667
1,72,1,10,0,3,8,9,7,1,0,0,3,1,10,9,7,1,6.5,7,9,7.33333333333333
0,68,1,9,0,3,3,9,7,0,0,1,3,0,8.25,7.5,7,0.5,7.5,3.5,6,8
0,55,0,9,0,2,7,10,7,0,1,0,2,0,9.5,8.5,4.5,2,7,8.5,8.33333333333333,2.66666666666667
1,46,0,7,0,4,6,6,3,0,0,1,7,1,8.75,9,5,2,7,8.5,8.33333333333333,8
1,47,0,7,0,2,2,7,6,0,1,0,4,0,8.75,8,4,1,7.5,5,8.33333333333333,2.33333333333333
1,38,0,7,0,3,4,6,8,0,1,0,4,0,9,3.5,6,1.5,8.5,1,6.33333333333333,6.66666666666667
0,70,1,7,0,2,3,7,5,1,1,0,7,0,10,10,2.5,3,6.5,7.5,7.33333333333333,5.66666666666667
1,69,1,5,0,4,3,0,8,0,0,0,7,0,10,6.5,6.5,0.5,8.5,6.5,5.33333333333333,7
0,41,0,8,0,3,3,8,7,1,1,1,0,0,7.5,10,4.5,3.5,7,1.5,6.33333333333333,5.33333333333333
1,60,0,4,0,8,3,2,10,0,0,0,8,0,10,10,1.5,2,3,9.5,6.33333333333333,6.66666666666667
1,31,1,8,0,4,5,8,7,0,1,0,3,1,10,9,4,2,7.5,7.5,6,6.33333333333333
0,44,0,5,0,6,5,3,7,1,1,0,10,0,9,5.5,2,2,4.5,6,7.33333333333333,4.66666666666667
0,34,1,5,1,0,10,6,6,1,0,1,8,1,9,8,6.5,1.5,7.5,6.5,6,1
1,79,1,6,0,7,3,8,7,0,0,0,7,0,8.75,3.5,1,0,1.5,7,8,5.33333333333333
1,34,1,5,0,10,0,6,4,0,1,1,5,0,9,6,6.5,2,5.5,3,6.66666666666667,5.33333333333333
1,74,0,8,0,6,7,8,7,0,1,1,4,0,8.75,5,5,0,7,8,8.33333333333333,2.66666666666667
0,74,1,2,0,5,3,3,8,0,1,1,8,0,10,9,2.5,1.5,7.5,6.5,5.33333333333333,3
0,79,0,9,0,0,0,9,4,1,0,0,3,0,10,10,3,3,4.5,8.5,7.66666666666667,9.33333333333333
1,75,0,8,0,6,0,7,7,1,0,0,4,0,7.5,7.5,6,1.5,6.5,5,8.33333333333333,6.33333333333333
1,64,1,8,0,4,4,7,6,1,1,1,1,0,8.25,5.5,5.5,1.5,5.5,6.5,6,7
1,63,1,6,1,3,0,6,7,0,1,0,7,0,10,8,2,3,8,3,9.66666666666667,8.66666666666667
0,81,1,8,0,6,1,8,6,1,0,1,9,1,9.75,3.5,4.5,3,8,5,5.66666666666667,3.33333333333333
1,72,0,8,0,3,3,6,6,1,1,1,3,0,9.75,3.5,6,0.5,6,7.5,7.33333333333333,6.66666666666667
0,31,0,5,0,6,4,5,7,0,0,0,8,1,7.25,7.5,3.5,1.5,7,5.5,7,7.66666666666667
1,66,0,7,0,3,3,8,6,0,0,0,8,0,10,8,3,1,5,4.5,6.66666666666667,3.33333333333333
1,68,1,7,0,4,6,7,9,0,0,0,4,0,10,6.5,6,2.5,4,6,8.33333333333333,6.33333333333333
0,53,0,8,0,2,3,9,8,0,1,1,0,0,10,10,8,2.5,9,10,8.33333333333333,8
1,53,1,9,0,4,10,9,8,0,1,0,3,1,10,9,2.5,2.5,9,9.5,7.33333333333333,8.33333333333333
0,71,0,0,0,7,4,3,3,0,1,1,8,0,8.25,0,2,1.5,2.5,5.5,6.66666666666667,6.66666666666667
1,63,1,8,0,4,5,8,5,1,1,1,0,0,10,6.5,7,0.5,4.5,7.5,8.33333333333333,7.33333333333333
1,60,1,2,1,3,2,0,4,1,1,1,10,0,10,10,0,3,7.5,2.5,8,3.33333333333333
0,71,0,9,0,3,3,9,7,1,1,1,0,0,9,8,7,2,6.5,4.5,7.66666666666667,3
0,43,0,8,1,2,2,8,6,1,1,1,3,0,10,9,3,2,5.5,7.5,7,3.66666666666667
1,41,0,0,0,10,3,0,7,0,0,0,7,0,8.25,5,0,3,4.5,7,3.66666666666667,3
1,51,0,8,0,1,10,8,7,0,1,0,0,0,6.5,10,7.5,1.5,7,10,10,10
0,36,1,8,0,7,0,8,3,1,0,0,3,1,9.75,9.5,5.5,3,8,7,7.33333333333333,8
1,37,1,7,0,4,4,7,6,0,0,0,5,0,10,6,4,3,5.5,5.5,6,2
0,47,1,2,1,6,3,4,6,1,1,0,7,1,7.5,7.5,2,1,5,5.5,4,5.66666666666667
0,50,1,7,0,6,0,7,2,1,0,0,4,0,9.5,8,7,2,10,7.5,7,0.666666666666667
0,51,1,6,1,2,0,0,5,1,1,1,7,0,10,10,3,3.5,4,7,4.66666666666667,2.33333333333333
0,49,1,10,0,4,2,4,0,1,1,0,10,0,10,9,1,1,7,3,7.66666666666667,0
0,30,0,8,0,6,6,10,7,0,0,1,3,0,7.75,6.5,6.5,2.5,6,4.5,6.66666666666667,7.66666666666667
0,42,0,8,0,3,1,8,7,0,1,1,0,0,9.25,7,5.5,2.5,8,7,7.33333333333333,8.66666666666667
0,38,0,8,0,5,3,7,8,0,1,0,5,1,9.75,8,4.5,2.5,8,5.5,6.33333333333333,4.66666666666667
1,42,0,4,0,5,4,4,5,0,0,0,8,0,10,8.5,1,1.5,7,8.5,6,5.66666666666667
1,51,1,1,0,8,1,2,7,0,1,0,8,1,7.5,5.5,2,2,2.5,6,6.33333333333333,5
1,27,1,8,0,4,3,8,8,0,1,0,3,1,8.25,7.5,3,1,6.5,2,5.33333333333333,9.33333333333333
1,74,1,9,0,4,3,8,8,0,1,0,5,1,9.5,8,6.5,1.5,7,5.5,9.33333333333333,8.33333333333333
1,29,0,8,0,3,3,8,6,1,1,1,3,0,9.25,7,4.5,2,5.5,7.5,8,7.33333333333333
1,57,1,8,0,1,6,7,5,1,1,1,1,0,10,8,6,1.5,6,5,7.66666666666667,5.66666666666667
1,55,1,6,0,4,1,3,5,1,1,0,8,0,9.5,4,1.5,2,7,7,6.33333333333333,6.66666666666667
0,45,1,5,1,4,0,6,3,0,1,1,5,0,10,5.5,6,3,5.5,6,5.66666666666667,4.33333333333333
0,49,0,8,0,3,4,8,7,0,0,0,4,1,7,6,4.5,2,5.5,9,5,5.33333333333333
0,62,0,7,0,0,4,7,4,1,1,1,1,0,9.25,8,5,1.5,7,9,6.66666666666667,8.33333333333333
1,59,0,9,0,2,7,9,6,0,0,0,2,0,9,5,4.5,1.5,7.5,9,8.33333333333333,5.33333333333333
1,62,0,10,0,6,8,8,7,0,0,0,3,0,10,9.5,7.5,0.5,5.5,6.5,7,9.33333333333333
0,66,0,8,0,1,7,9,7,0,0,0,0,0,10,8,3.5,1,7,7,7,5.66666666666667
